modelo,estrategia_balanceamento,accuracy,precision,recall,f1,roc_auc,cv_f1_media
DummyClassifier (nenhuma),nenhuma,0.9917414721723519,0.9835511476265838,0.9917414721723519,0.9876293297782714,0.5,0.9930036646486277
DummyClassifier (smote),smote,0.9917414721723519,0.9835511476265838,0.9917414721723519,0.9876293297782714,0.5,0.9930036646486277
DummyClassifier (nearmiss),nearmiss,0.9917414721723519,0.9835511476265838,0.9917414721723519,0.9876293297782714,0.5,0.9930036646486277
DecisionTreeClassifier (nenhuma),nenhuma,0.9912028725314184,0.9891153593982966,0.9912028725314184,0.9899102338043754,0.6891587696376287,0.9929865965074018
DecisionTreeClassifier (smote),smote,0.9721723518850988,0.990269533843114,0.9721723518850988,0.9799757036367251,0.8052628057803104,0.9855301151337097
DecisionTreeClassifier (nearmiss),nearmiss,0.144524236983842,0.9840924751100246,0.14452423698384204,0.2411791679181496,0.5040259106507572,0.37216603178838514
RandomForestClassifier (nenhuma),nenhuma,0.9926391382405745,0.9916892272280253,0.9926391382405745,0.9899438430559315,0.901611151339609,0.993430292456791
RandomForestClassifier (smote),smote,0.9910233393177738,0.991216273039608,0.9910233393177738,0.9911180230463514,0.9305186065547963,0.992994302037558
RandomForestClassifier (nearmiss),nearmiss,0.20341113105924596,0.98729692700832,0.20341113105924596,0.32728523966569917,0.7787539747504958,0.4047292236967999
KNeighborsClassifier (nenhuma),nenhuma,0.9931777378815081,0.9918042926229639,0.9931777378815081,0.9918419677754383,0.7562336681043983,0.9942327707540388
KNeighborsClassifier (smote),smote,0.9897666068222621,0.991345651679537,0.9897666068222621,0.9904769442923919,0.7886318200421875,0.98952385037493
KNeighborsClassifier (nearmiss),nearmiss,0.48994614003590664,0.9903877903756331,0.48994614003590664,0.6490038960923613,0.7307362339829361,0.5559365039676358
