modelo,estrategia_balanceamento,accuracy,precision,recall,f1,roc_auc,cv_f1_media
DummyClassifier (nenhuma),nenhuma,0.8703770197486534,0.757556156506548,0.8703770197486534,0.8100571686967695,0.5,0.8539298240140426
DummyClassifier (smote),smote,0.8703770197486534,0.757556156506548,0.8703770197486534,0.8100571686967695,0.5,0.8539298240140426
DummyClassifier (nearmiss),nearmiss,0.8703770197486534,0.757556156506548,0.8703770197486534,0.8100571686967695,0.5,0.8539298240140426
DecisionTreeClassifier (nenhuma),nenhuma,0.8872531418312388,0.8688068613164005,0.8872531418312388,0.8658885106769388,0.7399184516789629,0.8933848621321689
DecisionTreeClassifier (smote),smote,0.8348294434470377,0.863305586454106,0.8348294434470377,0.8463988042141786,0.7759486734684551,0.8437131083111951
DecisionTreeClassifier (nearmiss),nearmiss,0.6249551166965889,0.7758890042644068,0.6249551166965889,0.6826528289679605,0.47766163389192107,0.7239678349045711
RandomForestClassifier (nenhuma),nenhuma,0.8915619389587074,0.8896710781612199,0.8915619389587074,0.8597929307246137,0.8755995275774114,0.8992725076166906
RandomForestClassifier (smote),smote,0.8822262118491921,0.8694756249136859,0.8822262118491921,0.8738505676427328,0.8747681598145964,0.8719915928962299
RandomForestClassifier (nearmiss),nearmiss,0.3561938958707361,0.8851110261618857,0.3561938958707361,0.39805650141664184,0.7943747543036852,0.6382377645702257
KNeighborsClassifier (nenhuma),nenhuma,0.8728904847396768,0.838206307565931,0.8728904847396768,0.8328675312561042,0.6203360554199464,0.8818175845178581
KNeighborsClassifier (smote),smote,0.7813285457809694,0.8043413853488158,0.7813285457809694,0.7920456735580604,0.6222237744896374,0.8114373017795456
KNeighborsClassifier (nearmiss),nearmiss,0.277737881508079,0.8133269632201846,0.277737881508079,0.30245230987630106,0.5560191883107978,0.4841397715686479
