dataset,total_rows,column,dtype,non_null_count,null_count,unique_values,sample_values
comex_stat,11635864,CO_ANO,int16,11635864,0,3,"[2023, 2024, 2025]"
comex_stat,11635864,CO_MES,int8,11635864,0,12,"[3, 12, 4, 5, 10]"
comex_stat,11635864,CO_NCM,int64,11635864,0,9868,"[84139190, 73182100, 84219999, 85291090, 84825010]"
comex_stat,11635864,CO_UNID,int64,11635864,0,13,"[10, 11, 13, 16, 17]"
comex_stat,11635864,CO_PAIS,int64,11635864,0,252,"[160, 764, 40, 63, 317]"
comex_stat,11635864,SG_UF_NCM,str,11635864,0,29,"['RJ', 'SP', 'RS', 'MG', 'SC']"
comex_stat,11635864,CO_VIA,int64,11635864,0,16,"[4, 1, 7, 15, 9]"
comex_stat,11635864,CO_URF,int64,11635864,0,102,"[817700, 817800, 817600, 1017503, 217800]"
comex_stat,11635864,QT_ESTAT,int64,11635864,0,356758,"[107365, 0, 2, 1, 6]"
comex_stat,11635864,KG_LIQUIDO,int64,11635864,0,360514,"[5, 0, 2, 1, 56]"
comex_stat,11635864,VL_FOB,int64,11635864,0,727940,"[20, 84, 758, 275, 9]"
ibama_embargos,177172,objectid,int64,177172,0,88586,"[25298, 25299, 25300, 25301, 25302]"
ibama_embargos,177172,seq_tad,int64,177172,0,87533,"[1639007, 1472789, 1610984, 1629339, 1609835]"
ibama_embargos,177172,num_tad,str,177172,0,87698,"['756611', '602347', '729878', '746952', '728729']"
ibama_embargos,177172,serie_tad,str,127942,49230,5,"['E', 'C', 'A', 'D', 'B']"
ibama_embargos,177172,operacao,str,18930,158242,747,"['ONDA VERDE P11', 'ONDA VERDE', 'CONTROLE REMOTO P1', 'PONTA DO ABUNÃ V', 'PONTA DO ABUNÃ III']"
ibama_embargos,177172,origem_geo,str,177172,0,3,"['Polígono', 'Sem Geometria', 'Ponto']"
ibama_embargos,177172,cod_uf,str,177172,0,27,"['13', '29', '15', '31', '51']"
ibama_embargos,177172,uf,str,177172,0,27,"['AM', 'BA', 'PA', 'MG', 'MT']"
ibama_embargos,177172,cod_munici,int64,177172,0,3769,"[1302405, 2927705, 1500602, 3139300, 1302702]"
ibama_embargos,177172,municipio,str,177172,0,3633,"['Lábrea', 'Santa Cruz Cabrália', 'Altamira', 'Manga', 'Manicoré']"
ibama_embargos,177172,nome_imove,str,22544,154628,9318,"['Zona Rural, distrito de S A MATUPI', 'Fazenda Jacuba', 'Fazenda Mata Verde.', 'Fazenda Conquista Senepol.', 'Fazenda Onassis I.']"
ibama_embargos,177172,des_locali,str,156774,20398,71720,"[""Coordenadas de Referencia 09°21'43'' S - 66°35'05'' W"", 'Sítio Santa Bárbara', 'Estrada Vicinal Celeste, km 180, Altamira PA.', ""fazenda agropasto, estrada São João das Missões/Manga, município de Manga MG, coordenada da entrada 14°52'05,29''-S 44°04'37,98''-W."", 'AREA DE PROTEÇÃO AMBIENTAL ( APA TRIUNFO DO  XINGU ) ALTAMIRA/PA']"
ibama_embargos,177172,nome_embar,str,166436,10736,64673,"['DESCONHECIDO', 'WELLINGTON RODRIGUES DANTAS', 'EMILIO CARLO NOGUEIRA BATAGIN', 'REGINALDO FRAGA GUEDES', 'CORIOLANO RODRIGUES DA SILVA']"
ibama_embargos,177172,cpf_cnpj_e,str,159416,17756,65653,"['04449165551', '08972866857', '03493521600', '03649890178', '87837307291']"
ibama_embargos,177172,sit_desmat,str,177172,0,2,"['D', 'N']"
ibama_embargos,177172,tipo_area,str,70058,107114,7,"['Desmatamento', 'Outros', 'Queimada', 'Atividade', 'Não se Aplica']"
ibama_embargos,177172,num_auto_i,str,150286,26886,74387,"['9168921', '9126094', '9137930', '9125606', '9131912']"
ibama_embargos,177172,serie_auto,str,113318,63854,8,"['E', 'D', 'A', 'B', 'a']"
ibama_embargos,177172,cod_tipo_b,str,109368,67804,40,"['1', '4', '5', '3, 4', '3']"
ibama_embargos,177172,des_tipo_b,str,109368,67804,40,"['Mata Atlantica', 'Amazonia', 'Caatinga', 'Cerrado, Amazonia', 'Cerrado']"
ibama_embargos,177172,unid_contr,str,177132,40,133,"['DIFIS - Manaus/AM', 'Gerência Executiva do Ibama em Eunápolis/BA', 'Unidade Técnica Nível 1 em Altamira/PA', 'DIFIS - Belo Horizonte/MG', 'DIFIS - Cuiabá/MT']"
ibama_embargos,177172,ordem_fisc,str,96010,81162,6247,"['DF590151', 'DF590154', 'MG048208', 'DF590142', 'DF590156']"
ibama_embargos,177172,cd_acao_fi,str,45974,131198,22811,"['HX0MG1R', '2WVGK2X', 'JADRJZ5', 'J6DZZSV', 'HUM65BU']"
ibama_embargos,177172,num_proces,str,164352,12820,81270,"['02024102709201736', '02059100167201786', '02048101405201708', '02566100124201771', '02018103067201798']"
ibama_embargos,177172,des_tad,str,174102,3070,82502,"['Artigo 78 da Lei 5.172/66 § unico , Artigo 50 da lei federal 9.605/98, Artigo 16,101,108 § 2° do decreto federal 6.514/08, artigo 51 da lei federal 12.651/12, fica embargado por edital apartir dessa data e hora uma área de 244,43 há desmatada, const', 'Fica embargado o uso e as atividades que possam dificultar ou impedir a regeneração natural de uma área de 11,5 Hectares delimitada pelas Coordenadas geográficas apresentadas no memorial descritivo em anexo, com o objetivo de impedir a continuidade d', 'Fica embargadas todas as atividades produtivas, excetuando-se as de proteção ambientais e as determinadas e ou autorizadas pelas autoridades competentes, na area objeto do AI n 9126094-E. Lei Federal 9605/98 70 1° 72 II VII Decreto Federal 6514/08 3 I', ""Lei Federal 9605/98 70 1° 72 II,VII Decreto Federal 6514/08 3 II,VII 50 1° Lei 11.428/2006 2°.    Fica embargada a área de 28,6386 hectares, objeto do AI n° 9137930-E nas coordenadas dos vértices, 14° 52'05,29'' S 44°04'18,88'' W, 14°52'14,77''S"", 'Lei Federal 9605/98 70 1° 72 II,VII Decreto Federal 6514/08 3 II,VII 50 e 93    FICA EMBARGADA A ÁREA DE 704,59 , REFERENTE AO AI N° 9125606-E , PARA POSSIBILITAR A COMPLETA REGENERAÇÃO DA VEGETAÇÃO NATIVA , NO POLIGONO DE COORDENADAS CENTRAIS S 0']"
ibama_embargos,177172,des_infrac,str,137630,39542,246,"['Infração da Flora(Não Classificada-Móvel)', 'Infração de Licenciamento(Não Classificada-Móvel)', 'Infração de pesca(Não Classificada-Móvel)', 'Infração da Fauna(Não Classificada-Móvel)', 'Infração de Administração Ambiental(Não Classificada-Móvel)']"
ibama_embargos,177172,num_longit,str,151442,25730,60753,"[""66° 35' 04.999'' W"", ""39° 10' 52.000'' W"", ""54° 51' 47.002'' W"", ""44° 03' 59.000'' W"", ""53° 25' 14.002'' W""]"
ibama_embargos,177172,num_latitu,str,153484,23688,57074,"[""09° 21' 42.998'' S"", ""16° 10' 41.999'' S"", ""06° 28' 54.001'' S"", ""14° 52' 05.002'' S"", ""06° 06' 14.000'' S""]"
ibama_embargos,177172,dat_embarg,str,177172,0,84145,"['11/07/17 14:48:00', '11/07/17 16:49:00', '12/07/17 08:40:00', '12/07/17 10:58:00', '12/07/17 15:44:00']"
ibama_embargos,177172,dat_impres,str,139878,37294,21714,"['11/07/17 14:53:30', '11/07/17 17:08:59', '12/07/17 16:16:08', '12/07/17 11:26:27', '12/07/17 16:03:03']"
ibama_embargos,177172,dat_ult_al,str,176298,874,34155,"['28/01/19 13:36:23', '03/10/17 16:34:45', '17/07/17 12:27:36', '08/08/17 08:46:25', '17/07/17 11:02:28']"
ibama_embargos,177172,num_long00,float64,151442,25730,59642,"[-66.58472443, -39.18111038, -54.86305618, -44.06638718, -53.420555109999995]"
ibama_embargos,177172,num_lati00,float64,153484,23688,56566,"[-9.3619442, -16.17833328, -6.481667040000001, -14.868056300000001, -6.10388899]"
ibama_embargos,177172,qtd_area_d,float64,54604,122568,14470,"[3.79999995, 28.638999939999998, 704.5900268600001, 49.849998469999996, 8.0]"
ibama_embargos,177172,qtd_area_e,float64,112562,64610,46656,"[235.26829529, 11.508799549999999, 413.23550415, 28.64109993, 703.89648438]"
ibama_embargos,177172,dat_ult_00,str,176298,874,34289,"['28/01/19 13:36:23', '03/10/17 16:34:45', '17/07/17 12:27:36', '08/08/17 08:46:25', '17/07/17 11:02:28']"
